id,en,ja,pos,theme,level,notes
1,abandoned,見捨てられた,adjective,general,eiken2,
2,abnormally,異常に,adverb,general,eiken2,
3,abruptly,突然に,adverb,general,eiken2,
4,absurd,ばかげた,adjective,general,eiken2,
5,accordingly,それに応じて,adverb,general,eiken2,
6,achievable,達成可能な,adjective,general,eiken2,
7,actively,積極的に,adverb,general,eiken2,
8,actual,実際の,adjective,general,eiken2,
9,acute,鋭い,adjective,general,eiken2,
10,adaptable,適応できる,adjective,general,eiken2,
11,addicted,中毒になった,adjective,general,eiken2,
12,additionally,さらに,adverb,general,eiken2,
13,adequately,十分に,adverb,general,eiken2,
14,administrative,行政の,adjective,general,eiken2,
15,admirable,称賛すべき,adjective,general,eiken2,
16,admiringly,称賛して,adverb,general,eiken2,
17,admittedly,確かに,adverb,general,eiken2,
18,adopted,採用された,adjective,general,eiken2,
19,adorn,飾る,verb,action,eiken2,
20,adventurous,冒険好きな,adjective,general,eiken2,
21,adverse,不利な,adjective,general,eiken2,
22,adversely,不利に,adverb,general,eiken2,
23,affectionate,愛情深い,adjective,general,eiken2,
24,affectionately,愛情を込めて,adverb,general,eiken2,
25,affordable,手頃な,adjective,general,eiken2,
26,ageless,年齢を感じさせない,adjective,general,eiken2,
27,aggressively,積極的に,adverb,general,eiken2,
28,alternate,交互にする,verb,action,eiken2,
29,alternatively,代わりに,adverb,general,eiken2,
30,amazingly,驚くほど,adverb,general,eiken2,
31,ambiguous,曖昧な,adjective,general,eiken2,
32,ample,十分な,adjective,general,eiken2,
33,amplify,増幅する,verb,action,eiken2,
34,animate,生き生きとさせる,verb,action,eiken2,
35,anonymous,匿名の,adjective,general,eiken2,
36,appreciative,感謝した,adjective,general,eiken2,
37,appropriately,適切に,adverb,general,eiken2,
38,approximate,おおよその,adjective,general,eiken2,
39,arrogant,傲慢な,adjective,general,eiken2,
40,articulate,はっきり話す,verb,action,eiken2,
41,artificially,人工的に,adverb,general,eiken2,
42,astonish,驚かせる,verb,action,eiken2,
43,astonished,驚いた,adjective,general,eiken2,
44,astonishing,驚くべき,adjective,general,eiken2,
45,attached,愛着のある,adjective,general,eiken2,
46,attainable,達成可能な,adjective,general,eiken2,
47,attentive,注意深い,adjective,general,eiken2,
48,attentively,注意深く,adverb,general,eiken2,
49,atypical,非典型的な,adjective,general,eiken2,
50,authoritative,権威のある,adjective,general,eiken2,
51,balanced,バランスのとれた,adjective,general,eiken2,
52,bankrupt,破産させる,verb,action,eiken2,
53,barren,不毛な,adjective,general,eiken2,
54,beautify,美化する,verb,action,eiken2,
55,bellow,怒鳴る,verb,action,eiken2,
56,beneficial,有益な,adjective,general,eiken2,
57,benevolent,慈悲深い,adjective,general,eiken2,
58,bestow,授ける,verb,action,eiken2,
59,bewilder,当惑させる,verb,action,eiken2,
60,bid,入札する,verb,action,eiken2,
61,bind,縛る,verb,action,eiken2,
62,biological,生物学的な,adjective,general,eiken2,
63,bitterly,激しく,adverb,general,eiken2,
64,bizarre,奇妙な,adjective,general,eiken2,
65,blindly,盲目的に,adverb,general,eiken2,
66,bloody,血まみれの,adjective,general,eiken2,
67,blur,ぼかす,verb,action,eiken2,
68,boiling,煮えたぎる,adjective,general,eiken2,
69,bothered,悩まされた,adjective,general,eiken2,
70,bothersome,煩わしい,adjective,general,eiken2,
71,bottle,ビンに詰める,verb,action,eiken2,
72,breakable,壊れやすい,adjective,general,eiken2,
73,breathtaking,息をのむ,adjective,general,eiken2,
74,breezy,そよ風の,adjective,general,eiken2,
75,brilliantly,見事に,adverb,general,eiken2,
76,broadly,広く,adverb,general,eiken2,
77,burdensome,重荷な,adjective,general,eiken2,
78,burgle,押し入る,verb,action,eiken2,
79,bustle,忙しく動く,verb,action,eiken2,
80,bustling,賑やかな,adjective,general,eiken2,
81,calmly,穏やかに,adverb,general,eiken2,
82,carefree,気楽な,adjective,general,eiken2,
83,caring,思いやりのある,adjective,general,eiken2,
84,casually,気楽に,adverb,general,eiken2,
85,catastrophic,壊滅的な,adjective,general,eiken2,
86,chaotic,混沌とした,adjective,general,eiken2,
87,charming,魅力的な,adjective,general,eiken2,
88,cheeky,生意気な,adjective,general,eiken2,
89,cheerfully,陽気に,adverb,general,eiken2,
90,cherished,大切にされた,adjective,general,eiken2,
91,childish,子供っぽい,adjective,general,eiken2,
92,clog,詰まらせる,verb,action,eiken2,
93,clumsy,不器用な,adjective,general,eiken2,
94,coarse,粗い,adjective,general,eiken2,
95,coherent,一貫した,adjective,general,eiken2,
96,colonial,植民地の,adjective,general,eiken2,
97,comfortably,快適に,adverb,general,eiken2,
98,communicative,コミュニカティブな,adjective,general,eiken2,
99,compassionate,思いやりのある,adjective,general,eiken2,
100,compatible,互換性のある,adjective,general,eiken2,
101,competent,有能な,adjective,general,eiken2,
102,compulsory,義務的な,adjective,general,eiken2,
103,compute,計算する,verb,action,eiken2,
104,concede,認める,verb,action,eiken2,
105,conceivable,想像できる,adjective,general,eiken2,
106,concrete,具体的な,adjective,general,eiken2,
107,confidently,自信を持って,adverb,general,eiken2,
108,confine,閉じ込める,verb,action,eiken2,
109,confront,対峙する,verb,action,eiken2,
110,considerably,かなり,adverb,general,eiken2,
111,constant,一定の,adjective,general,eiken2,
112,contemporary,現代の,adjective,general,eiken2,
113,contradict,矛盾する,verb,action,eiken2,
114,contradictory,矛盾した,adjective,general,eiken2,
115,conveniently,便利に,adverb,general,eiken2,
116,conventional,慣習的な,adjective,general,eiken2,
117,conversely,逆に,adverb,general,eiken2,
118,convinced,確信した,adjective,general,eiken2,
119,corporate,企業の,adjective,general,eiken2,
120,corresponding,対応する,adjective,general,eiken2,
121,corrupt,腐敗した,adjective,general,eiken2,
122,costly,費用のかかる,adjective,general,eiken2,
123,cowardly,臆病な,adjective,general,eiken2,
124,creatively,創造的に,adverb,general,eiken2,
125,creepy,気持ち悪い,adjective,general,eiken2,
126,critically,批判的に,adverb,general,eiken2,
127,crossly,怒って,adverb,general,eiken2,
128,cruelly,残酷に,adverb,general,eiken2,
129,culturally,文化的に,adverb,general,eiken2,
130,dated,時代遅れの,adjective,general,eiken2,
131,dearly,深く,adverb,general,eiken2,
132,decay,腐る,verb,action,eiken2,
133,decent,まともな,adjective,general,eiken2,
134,deceptive,人を欺く,adjective,general,eiken2,
135,decisive,決断力のある,adjective,general,eiken2,
136,decorative,装飾的な,adjective,general,eiken2,
