id,en,ja,pos,theme,level,notes
1,arrive,到着する,verb,action,eiken4,
2,borrow,借りる,verb,action,eiken4,
3,build,建てる,verb,action,eiken4,
4,catch,捕まえる,verb,action,eiken4,
5,climb,登る,verb,action,eiken4,
6,collect,集める,verb,action,eiken4,
7,continue,続ける,verb,action,eiken4,
8,describe,説明する,verb,action,eiken4,
9,die,死ぬ,verb,action,eiken4,
10,discover,発見する,verb,action,eiken4,
11,earn,稼ぐ,verb,action,eiken4,
12,explain,説明する,verb,action,eiken4,
13,fail,失敗する,verb,action,eiken4,
14,fill,満たす,verb,action,eiken4,
15,follow,従う,verb,action,eiken4,
16,forget,忘れる,verb,action,eiken4,
17,forgive,許す,verb,action,eiken4,
18,grow,育つ,verb,action,eiken4,
19,guess,推測する,verb,action,eiken4,
20,hurt,傷つける,verb,action,eiken4,
21,improve,改善する,verb,action,eiken4,
22,increase,増える,verb,action,eiken4,
23,introduce,紹介する,verb,action,eiken4,
24,invite,招待する,verb,action,eiken4,
25,lend,貸す,verb,action,eiken4,
26,mention,述べる,verb,action,eiken4,
27,miss,恋しく思う,verb,action,eiken4,
28,offer,申し出る,verb,action,eiken4,
29,perform,演じる,verb,action,eiken4,
30,plan,計画する,verb,action,eiken4,
31,prepare,準備する,verb,action,eiken4,
32,produce,生産する,verb,action,eiken4,
33,promise,約束する,verb,action,eiken4,
34,protect,守る,verb,action,eiken4,
35,pull,引く,verb,action,eiken4,
36,push,押す,verb,action,eiken4,
37,raise,上げる,verb,action,eiken4,
38,realize,気づく,verb,action,eiken4,
39,receive,受け取る,verb,action,eiken4,
40,relax,くつろぐ,verb,action,eiken4,
41,remember,覚えている,verb,action,eiken4,
42,repair,直す,verb,action,eiken4,
43,repeat,繰り返す,verb,action,eiken4,
44,report,報告する,verb,action,eiken4,
45,rest,休む,verb,action,eiken4,
46,shout,叫ぶ,verb,action,eiken4,
47,spend,過ごす,verb,action,eiken4,
48,spread,広がる,verb,action,eiken4,
49,steal,盗む,verb,action,eiken4,
50,succeed,成功する,verb,action,eiken4,
51,support,支える,verb,action,eiken4,
52,throw,投げる,verb,action,eiken4,
53,travel,旅行する,verb,action,eiken4,
54,understand,理解する,verb,action,eiken4,
55,wake,起きる,verb,action,eiken4,
56,warn,警告する,verb,action,eiken4,
57,wonder,不思議に思う,verb,action,eiken4,
58,worry,心配する,verb,action,eiken4,
59,wrap,包む,verb,action,eiken4,
60,shake,振る,verb,action,eiken4,
61,knock,ノックする,verb,action,eiken4,
62,suggest,提案する,verb,action,eiken4,
63,accept,受け入れる,verb,action,eiken4,
64,celebrate,祝う,verb,action,eiken4,
65,compete,競争する,verb,action,eiken4,
66,active,活発な,adjective,general,eiken4,
67,afraid,怖い,adjective,mind,eiken4,
68,alone,一人の,adjective,mind,eiken4,
69,brave,勇敢な,adjective,mind,eiken4,
70,careful,注意深い,adjective,general,eiken4,
71,cheap,安い,adjective,general,eiken4,
72,cheerful,陽気な,adjective,mind,eiken4,
73,clever,賢い,adjective,general,eiken4,
74,comfortable,快適な,adjective,general,eiken4,
75,curious,好奇心旺盛な,adjective,mind,eiken4,
76,dangerous,危険な,adjective,general,eiken4,
77,dark,暗い,adjective,general,eiken4,
78,dead,死んだ,adjective,general,eiken4,
79,delicious,おいしい,adjective,daily,eiken4,
80,empty,空の,adjective,general,eiken4,
81,excellent,優秀な,adjective,general,eiken4,
82,excited,興奮した,adjective,mind,eiken4,
83,exciting,わくわくする,adjective,mind,eiken4,
84,expensive,高価な,adjective,general,eiken4,
85,famous,有名な,adjective,people,eiken4,
86,foreign,外国の,adjective,general,eiken4,
87,friendly,友好的な,adjective,people,eiken4,
88,glad,嬉しい,adjective,mind,eiken4,
89,healthy,健康な,adjective,daily,eiken4,
90,heavy,重い,adjective,general,eiken4,
91,large,大きい,adjective,general,eiken4,
92,lonely,孤独な,adjective,mind,eiken4,
93,lucky,運の良い,adjective,general,eiken4,
94,nervous,緊張した,adjective,mind,eiken4,
95,perfect,完璧な,adjective,general,eiken4,
96,popular,人気の,adjective,people,eiken4,
97,proud,誇りに思う,adjective,mind,eiken4,
98,quiet,静かな,adjective,general,eiken4,
99,safe,安全な,adjective,general,eiken4,
100,serious,真剣な,adjective,general,eiken4,
101,smart,賢い,adjective,general,eiken4,
